# ----------------------------------------
# Pages and screens: Page path and screen class
# Account: dc.gov
# Property: dcgov GA4
# ----------------------------------------
# 
# Hostname exactly matches dhcf.dc.gov
# Start date: 20250916
# End date: 20251216
Page title and screen class,Page path and screen class,Views,Active users,Views per active user,Average engagement time per active user,Event count,Key events,Total revenue
Contact Information | dhcf,/page/contact-information-0,553,357,1.5490196078431373,14.69187675070028,1613,0,0
General Information | dhcf,/page/general-information-0,538,344,1.563953488372093,31.031976744186046,1618,0,0
DHCF Medicaid Updates - 2024 | dhcf,/page/dhcf-medicaid-updates-2024,537,343,1.565597667638484,36.778425655976676,1862,0,0
DC Care Connect | dhcf,/page/dc-care-connect,531,201,2.6417910447761193,83.2089552238806,1861,0,0
Medicaid LTSS Provider Listing | dhcf,/node/1418101,517,265,1.950943396226415,32.23396226415095,1919,0,0
Long-term Care (LTC) | dhcf,/service/long-term-care-ltc,512,371,1.3800539083557952,55.18867924528302,1723,0,0
Behavioral (Mental Health) Services | dhcf,/page/behavioral-mental-health-services,511,405,1.2617283950617284,38.11851851851852,1820,0,0
DC Community Resources | dhcf,/page/dc-community-resources,496,365,1.358904109589041,40.75068493150685,1805,0,0
Transforming Maternal Health | dhcf,/page/transforming-maternal-health,479,238,2.0126050420168067,43.71848739495798,1675,0,0
Pregnancy Resources | dhcf,/page/pregnancy-resources,471,341,1.3812316715542523,42.78299120234604,1547,0,0
Infants & Children (0-20) | dhcf,/service/infants-children-0-20,463,349,1.326647564469914,37.11461318051576,1470,0,0
Health Home for Persons with Multiple Chronic Conditions - My Health GPS | dhcf,/page/health-home-persons-multiple-chronic-conditions-my-health-gps,446,282,1.5815602836879432,28.27659574468085,1404,0,0
DC Medical Care Advisory Committee | dhcf,/page/dc-medical-care-advisory-committee,440,226,1.9469026548672566,37.61946902654867,1448,0,0
Long Term Care Services and Programs | dhcf,/page/long-term-care-services-and-programs,439,324,1.3549382716049383,20.308641975308642,1307,0,0
Pregnant Individual | dhcf,/service/pregnant-individual,429,261,1.6436781609195403,44.900383141762454,1332,0,0
American Rescue Plan Act Enhanced Funding for Home and Community-Based Services | dhcf,/page/arpa-hcbs-planning,414,362,1.143646408839779,7.502762430939226,1815,0,0
Supplemental Security Income (SSI) Program | dhcf,/service/supplemental-security-income-ssi-program,407,301,1.3521594684385383,32.09966777408638,1299,0,0
PDMS Application User Guides | dhcf,/page/pdms-application-user-guides,406,269,1.5092936802973977,27.442379182156134,1378,0,0
DHCF Grant Opportunities | dhcf,/page/dhcf-grant-opportunities,405,188,2.154255319148936,57.1436170212766,1286,0,0
Medicaid Program Integrity | dhcf,/page/medicaid-program-integrity,396,303,1.306930693069307,37.31353135313531,1251,0,0
DHCF Procurement Opportunities | dhcf,/page/dhcf-procurement-opportunities,394,176,2.2386363636363638,25.59659090909091,1143,0,0
Parents and Caretaker Relatives | dhcf,/node/892382,385,268,1.4365671641791045,52.88059701492537,1038,0,0
Electronic Visit Verification - EVV | dhcf,/page/electronic-visit-verification-evv,384,260,1.476923076923077,32.511538461538464,1238,0,0
Long Term Care Services and Supports | dhcf,/page/long-term-care-services-and-supports,383,297,1.2895622895622896,38.794612794612796,1233,0,0
Medically Needy Spend-Down | dhcf,/service/medically-needy-spend-down,371,241,1.5394190871369295,67.70124481327801,1216,0,0
Office of the Health Care Ombudsman and Bill of Rights | dhcf,/page/office-health-care-ombudsman-and-bill-rights,371,238,1.5588235294117647,49.79831932773109,1054,0,0
"Aged, Blind and Disabled (ABD) Individuals | dhcf",/node/892152,363,279,1.3010752688172043,67.59856630824373,975,0,0
Types of Long-Term Care Services | dhcf,/service/types-long-term-care-services,353,266,1.3270676691729324,78.80827067669173,1063,0,0
Medicaid Restart Renewal Notices | dhcf,/page/medicaid-restart-renewal-notices,350,269,1.3011152416356877,52.13382899628253,1132,0,0
What are Some of the Services Covered by Medicaid? | dhcf,/service/what-are-some-services-covered-medicaid,347,257,1.350194552529183,30.653696498054476,1069,0,0
District Dual Choice (D-SNPs) | dhcf,/page/district-dual-choice-d-snps,342,237,1.4430379746835442,61.08438818565401,1163,0,0
Medicaid Director Letters | dhcf,/page/medicaid-director-letters,336,233,1.44206008583691,24.51502145922747,1065,0,0
Long Term Care Administration | dhcf,/page/long-term-care-administration,328,201,1.6318407960199004,45.995024875621894,955,0,0
