# ----------------------------------------
# Pages and screens: Page path and screen class
# Account: dc.gov
# Property: dcgov GA4
# ----------------------------------------
# 
# Hostname exactly matches does.dc.gov
# Start date: 20250916
# End date: 20251216
Page title and screen class,Page path and screen class,Views,Active users,Views per active user,Average engagement time per active user,Event count,Key events,Total revenue
Administrative Hearings Division | does,/node/178132,72,32,2.25,53.84375,224,0,0
District of Columbia Long-Term Industry and Occupational Projections | does,/publication/district-columbia-long-term-industry-and-occupational-projections,72,36,2,27.305555555555557,256,0,0
Bill of Rights | does,/page/bill-rights,71,63,1.126984126984127,21.428571428571427,234,0,0
Medical Billing &Coding Specialist | does,/node/1745076,71,60,1.1833333333333333,41.38333333333333,173,0,0
Community Health Worker | does,/node/1745136,70,59,1.1864406779661016,32.3728813559322,195,0,0
Administrative Hearings Division FAQs | does,/page/administrative-hearings-division-faqs-0,69,49,1.4081632653061225,54.16326530612245,200,0,0
Youth Services | does,/service/youth-services/,69,63,1.0952380952380953,26.095238095238095,189,0,0
Phlebotomy Technician | does,/node/1745086,68,60,1.1333333333333333,27.116666666666667,168,0,0
Insurance Carrier/TPA Services | does,/service/insurance-carriertpa-services,66,48,1.375,32.9375,234,0,0
We are sorry; the page you requested is no longer available. | does,/node/337942,66,45,1.4666666666666666,6.377777777777778,211,0,0
Veteran Services | does,/service/veteran-services,65,51,1.2745098039215685,20.352941176470587,197,0,0
Certified Nursing Aide | does,/node/1745106,64,53,1.2075471698113207,25.169811320754718,170,0,0
Page not found | does,/service/ZmVkZXJhbC,64,50,1.28,11.6,219,0,0
“Topping Out” Ceremony Marks Important Step for DC Infrastructure Academy Training Facility | does,/release/“topping-out”-ceremony-marks-important-step-dc-infrastructure-academy-training-facility,64,54,1.1851851851851851,24.88888888888889,191,0,0
Page not found | does,/sites/default/files/dc/sites/does/page_content/attachments/PFL Sample Benefit Amount Chart.pdf,62,51,1.2156862745098038,5.235294117647059,225,0,0
Tipped Workers Coordinating Council | does,/node/1538641,62,56,1.1071428571428572,11.196428571428571,169,0,0
Work Opportunity Tax Credit - How To Apply | does,/page/work-opportunity-tax-credit-new-how,62,42,1.4761904761904763,51.30952380952381,202,0,0
DCAHC - Vision | does,/page/dcahc-vision,61,50,1.22,30.32,155,0,0
Safe Workplace Program | does,/page/safe-workplace-program-updated,61,36,1.6944444444444444,44.888888888888886,238,0,0
HSIP 2025-2026 Youth and Parent Handbook | does,/publication/hsip-2025-2026-youth-and-parent-handbook,60,50,1.2,4.18,141,0,0
We are sorry; the page you requested is no longer available. | does,/page/dc-career-connections-program-structure,60,42,1.4285714285714286,20.142857142857142,153,0,0
Paid Family Leave Employee Notice | does,/node/1470351,59,51,1.1568627450980393,14.313725490196079,260,0,0
We are sorry; the page you requested is no longer available. | does,/page/job-seeker-resources,59,56,1.0535714285714286,2.3035714285714284,189,0,0
Work Opportunity Tax Credit - Program Updates | does,/page/work-opportunity-tax-credit-new,59,44,1.3409090909090908,61.75,193,0,0
Page not found | does,/service/b2ZmaWNlLX,57,56,1.0178571428571428,14.785714285714286,222,0,0
Start Your Unemployment Compensation Process | does,/es/service/start-your-unemployment-compensation-process,57,42,1.3571428571428572,18.761904761904763,183,0,0
How Does the Benefit Accuracy Measurement Program Work? | does,/page/how-does-benefit-accuracy-measurement-program-work,56,47,1.1914893617021276,25.48936170212766,159,0,0
Workers’ Compensation Legal Process General Information | does,/node/1634631,56,42,1.3333333333333333,71.33333333333333,157,0,0
DC Apprenticeship Council - Agendas and Meeting Minutes | does,/page/dc-apprenticeship-council-agendas-and-meeting-minutes,55,38,1.4473684210526316,21.263157894736842,188,0,0
Pharmacy Technician | does,/node/1745111,53,45,1.1777777777777778,26.711111111111112,135,0,0
Additional Veterans Resources | does,/page/additional-veterans-resources,52,46,1.1304347826086956,5.086956521739131,182,0,0
Rapid Response | does,/page/rapid-response-benefit-workers,52,41,1.2682926829268293,27.29268292682927,152,0,0
OWC Quarterly Premium Surcharge Payment Form | does,/publication/owc-quarterly-premium-surcharge-payment-form,50,32,1.5625,6.75,156,0,0
Page not found | does,/page/b2ZmaWNlLX,50,46,1.0869565217391304,12.347826086956522,197,0,0
Patient Care Technician | does,/node/1745081,50,46,1.0869565217391304,31.130434782608695,141,0,0
We are sorry; the page you requested is no longer available. | does,/node/425972,50,36,1.3888888888888888,8.222222222222221,181,0,0
News Room | Page 2 | does,/newsroom,49,42,1.1666666666666667,12.571428571428571,148,0,0
We are sorry; the page you requested is no longer available. | does,/service/unemployment-insurance,48,31,1.5483870967741935,5,146,0,0
2025 Documents | does,/publication/2025-documents,47,39,1.205128205128205,21.358974358974358,170,0,0
American Job Center Reopens to Aid District Recovery | does,/release/american-job-center-reopens-aid-district-recovery-0,46,38,1.2105263157894737,43.78947368421053,122,0,0
Industry Closings and Layoffs WARN Notifications 2021 | does,/page/industry-closings-and-layoffs-warn-notifications-2021,46,29,1.5862068965517242,11.931034482758621,104,0,0
Page not found | does,/sites/default/files/dc/sites/does/,46,32,1.4375,1.9375,123,0,0
We are sorry; the page you requested is no longer available. | does,/service/paid-family-leave,46,31,1.4838709677419355,14.935483870967742,166,0,0
Industry Closings and Layoffs WARN Notifications 2022 | does,/page/industry-closings-and-layoffs-warn-notifications-2022,45,38,1.1842105263157894,8.473684210526315,104,0,0
Page not found | does,/does/site/default.asp,45,39,1.1538461538461537,1.641025641025641,162,0,0
Page not found | does,/sites/default/files/dc/sites/does/publication/,45,36,1.25,1.9444444444444444,137,0,0
CRB Electronic Filing Information Page | does,/page/crb-electronic-filing-information-page,44,32,1.375,21.5625,147,0,0
"D.C. Minimum Wage to Increase to $15.20 on July 1, 2021  | does",/release/dc-minimum-wage-increase-1520-july-1-2021 ,44,38,1.1578947368421053,3.8421052631578947,141,0,0
Publications | does,/publications,44,32,1.375,25.65625,158,0,0
Workforce on Wheels | does,/service/workforce-wheels,44,38,1.1578947368421053,38.18421052631579,149,0,0
District of Columbia Unemployment Rate at 6.0 Percent in July | does,/release/district-columbia-unemployment-rate-60-percent-july,42,32,1.3125,21.84375,142,0,0
Monthly Snapshot | does,/publication/monthly-snapshot,42,19,2.210526315789474,19.842105263157894,114,0,0
We are sorry; the page you requested is no longer available. | does,/node/107072,42,28,1.5,4.678571428571429,146,0,0
"District of Columbia Economy Reflects Job Growth, Unemployment Rate at 5.6 Percent in March | does",/release/district-columbia-economy-reflects-job-growth-unemployment-rate-56-percent-march,41,24,1.7083333333333333,25.958333333333332,141,0,0
On The Job Training | does,/node/1213321,41,40,1.025,0.575,60,0,0
Rapid Response | does,/page/program-details-rapid-resonse,41,31,1.3225806451612903,18.451612903225808,105,0,0
Tax and Wage Reporting | does,/node/200672,41,29,1.4137931034482758,18.551724137931036,131,0,0
Page not found | does,/page/get-know-your-american-job-center-orientation),40,31,1.2903225806451613,6.516129032258065,119,0,0
The current DC Apprenticeship Council members are as follows: | does,/page/current-dc-apprenticeship-council-members-are-follows,40,36,1.1111111111111112,15.583333333333334,110,0,0
Page not found | does,/paidfamilyleave,39,25,1.56,9.32,122,0,0
Quarterly Research Snapshot | does,/page/quarterly-research-snapshot,39,26,1.5,12.884615384615385,104,0,0
We are sorry; the page you requested is no longer available. | does,/page/let-ai-create-your-resume,39,31,1.2580645161290323,37.16129032258065,100,0,0
East of the River Career Pathway Program | does,/page/east-river-career-pathway-program,38,34,1.1176470588235294,14.264705882352942,117,0,0
We are sorry; the page you requested is no longer available. | does,/node/200642,38,32,1.1875,5.71875,114,0,0
Workers' Compensation - DOES | does,/node/156082,38,23,1.6521739130434783,45.56521739130435,138,0,0
Talent Tuesday and First Take Friday Opportunities | does,/page/talent-tuesday-and-first-take-friday-opportunities,37,30,1.2333333333333334,32.733333333333334,119,0,0
Industry Closings and Layoffs WARN Notifications 2020 | does,/node/1468786,36,29,1.2413793103448276,15.758620689655173,94,0,0
Page not found | does,/liheap,36,19,1.894736842105263,12,103,0,0
WOTC Modernization | does,/page/wotc-modernization,36,31,1.1612903225806452,42.806451612903224,110,0,0
We are sorry; the page you requested is no longer available. | does,/release/mayor-bowser-launches-apprenticeship-dc,36,34,1.0588235294117647,4,86,0,0
French (Français) | does,/page/does-french-français-1,35,30,1.1666666666666667,59.766666666666666,81,0,0
Migrant and Seasonal Farm Workers | does,/service/migrant-and-seasonal-farm-workers,35,29,1.206896551724138,26.17241379310345,146,0,0
Page not found | does,/sites/default/files/dc/,35,27,1.2962962962962963,1.3333333333333333,103,0,0
Occupational Safety and Health FAQs - DOES | does,/page/occupational-safety-and-health-faqs-does,34,28,1.2142857142857142,37.464285714285715,112,0,0
