# ----------------------------------------
# Pages and screens: Page path and screen class
# Account: dc.gov
# Property: dcgov GA4
# ----------------------------------------
# 
# Hostname exactly matches dmv.dc.gov
# Start date: 20250916
# End date: 20251216
Page title and screen class,Page path and screen class,Views,Active users,Views per active user,Average engagement time per active user,Event count,Key events,Total revenue
Contact Us | dmv,/contact-us,8432,5988,1.4081496325985303,34.41382765531062,26341,0,0
Certificate of Title/Temporary Tag Application | dmv,/node/135842,8331,5208,1.5996543778801844,10.19758064516129,24037,0,0
Online Drivers License Renewal | dmv,/service/online-drivers-license-renewal,8313,6046,1.374958650347337,39.61792920939464,27429,0,0
Inspection Station | dmv,/node/1099182,8308,4955,1.6766902119071645,54.74651866801211,20892,0,0
Georgetown Service Center | dmv,/page/georgetown-servicecenter,8222,5329,1.5428785888534435,39.2161756427097,25265,0,0
Driver Services | dmv,/service/driver-services,8189,6366,1.2863650644046496,18.552466226830035,22957,0,0
For New District Residents | dmv,/service/for-new-district-residents,8099,5548,1.4598053352559481,19.884823359769285,22318,0,0
DMV Fees | dmv,/node/155482,8080,6313,1.2798986218913353,21.942341200696976,24136,0,0
Vehicle Services | dmv,/service/dmv-vehicle-services,8043,6049,1.3296412630186807,25.836336584559433,22854,0,0
Vehicle Title and Excise Tax Fees | dmv,/book/vehicle-fees/vehicle-title,8000,4826,1.6576875259013677,42.98052217157066,24383,0,0
DC DMV REAL ID Driver License | dmv,/service/dc-dmv-real-id-driver-license,7936,6431,1.234022702534598,22.452962214274606,24954,0,0
Road Skills Tests | dmv,/page/road-skills-tests,7896,4151,1.9021922428330522,47.35870874488075,24661,0,0
Request Reconsideration after Contesting | dmv,/service/request-reconsideration-after-contesting,7798,5299,1.4715984147952443,49.11756935270806,23442,0,0
Rhode Island Service Center | dmv,/node/1099102,7746,5351,1.447579891609045,40.66473556344609,20200,0,0
Proof of Current District of Columbia Residency | dmv,/proofofresidency,7720,4615,1.6728060671722644,63.88082340195016,22160,0,0
Obtain a REAL ID Non-Driver Identification Card | dmv,/service/obtain-a-real-id-non-driver-identification-card,7709,5029,1.5329091270630344,51.75681049910519,24996,0,0
"REAL ID Proof of Identity-Full Legal Name, Date of Birth and Lawful Presence | dmv",/node/1115566,7651,5811,1.3166408535536052,34.32644983651695,19916,0,0
Renew a REAL ID or Limited Purpose Driver License | dmv,/node/1119107,7569,4681,1.6169621875667592,64.94167912839137,21129,0,0
Parking and Reciprocity Permits | dmv,/service/parking-and-reciprocity-permits,7438,4519,1.6459393671166187,21.368444346094268,20275,0,0
Obtain a REAL ID Learner Permit | dmv,/node/1119166,7340,4056,1.809664694280079,74.8939842209073,21456,0,0
DC Vehicle Title Replacement/Duplicate | dmv,/service/vehicle-title-replacement,7265,3970,1.8299748110831233,66.98765743073048,22935,0,0
Vehicle Registration and Title Fee Estimator | dmv,/page/vehicle-registration-and-title-fee-estimator,7128,3844,1.854318418314256,22.988553590010405,23375,0,0
How to Register Your Vehicle | dmv,/service/how-register-your-vehicle,7088,5535,1.2805781391147244,25.92773261065944,20348,0,0
Benning Ridge Service Center | dmv,/page/benning-ridge-service-center,6914,4723,1.4639000635189499,32.52826593266991,18962,0,0
Knowledge Tests | dmv,/node/1119296,6651,4545,1.4633663366336633,43.68294829482948,18530,0,0
Driver Records | dmv,/service/driver-records,6575,4742,1.3865457612821595,26.69822859552931,22228,0,0
"New Look, New Security, Same You! | dmv",/service/new-look-new-security-same-you,6557,5237,1.252052701928585,37.605499331678445,19809,0,0
Renew a REAL ID or Limited Purpose Driver License | dmv,/service/renew-real-id-or-limited-purpose-driver-license,6532,4732,1.3803888419273034,47.51796280642434,20592,0,0
