# Hostname exactly matches dpr.dc.gov,,
# Start date: 20250916,,
# End date: 20251216,,
,,
Page title and screen class,Page path and screen class,Views
2016 Spring Program Directory | dpr,/publication/2016-spring-program-directory,2
2016 Summer Resource Directory - FINAL | dpr,/publication/2016-summer-resource-directory-final,4
2016 Summer Resource Directory - UPDATED FINAL | dpr,/publication/2016-summer-resource-directory-updated-final,2
2016 Truck Touch - RFK Stadium Lot 7 | dpr,/event/2016-truck-touch-rfk-stadium-lot-7,5
2017 Request for Interest - Fort Dupont Ice Arena Programming | dpr,/page/2017-request-interest-fort-dupont-ice-arena-programming,1
2017 Senior Fun Camp | dpr,/event/2017-senior-fun-camp,1
2017 Summer Camp Parent Orientation Information | dpr,/service/2017-summer-camp-parent-orientation-information,2
2017 Thanksgiving Holiday Schedule | dpr,/release/2017-thanksgiving-holiday-schedule,8
2017-2018 Cooperative Play Program Registration Opens (DC Residents only) | dpr,/event/2017-2018-cooperative-play-program-registration-opens-dc-residents-only,1
2019 Spring Break Camp and Fun Day Registration Open | dpr,/release/2019-spring-break-camp-and-fun-day-registration-open,6
2025 Summer Camps | dpr,/es/service/2025-summer-camps,9
2025 Summer Camps | dpr,/node/545552,273
2025 Summer Camps | dpr,/service/2024-summer-camps,4
2025 Summer Camps | dpr,/service/2025-summer-camps,1087
2025 Summer Camps | dpr,/service/summer-camps,231
2025 Summer Camps | dpr,/vi/service/2025-summer-camps,8
24-Hour Teen Event Returns for Spring Break at Deanwood Recreation Center | dpr,/release/24-hour-teen-event-returns-spring-break-deanwood-recreation-center,8
28th Annual Black History Invitational Swim Meet - Takoma Aquatic Center | dpr,/event/28th-annual-black-history-invitational-swim-meet-takoma-aquatic-center,2
2nd Annual Art Exhibit - Arboretum Community Center | dpr,/event/2nd-annual-art-exhibit-arboretum-community-center,2
2nd Annual Chuck Brown Day - Chuck Brown Memorial Park | dpr,/event/2nd-annual-chuck-brown-day-chuck-brown-memorial-park,4
3.7.16 - Agency Performance Oversight Hearing - Director Keith Anderson | dpr,/es/release/3716-agency-performance-oversight-hearing-director-keith-anderson,4
3.7.16 - Agency Performance Oversight Hearing - Director Keith Anderson | dpr,/release/3716-agency-performance-oversight-hearing-director-keith-anderson,2
30 Days of DPR | dpr,/page/30-days-dpr,1
30 Days of DPR | dpr,/page/30-days-dpr-00,4
32nd Annual DC Senior Games | dpr,/node/543182,2
32nd Annual DC Senior Games Opening Ceremony - Howard Theatre | dpr,/fr/event/32nd-annual-dc-senior-games-opening-ceremony-howard-theatre,1
33rd Annual DC Senior Games Closing Ceremony - Howard Theatre | dpr,/event/33rd-annual-dc-senior-games-closing-ceremony-howard-theatre,2
33rd Annual DC Senior Games Closing Ceremony - Howard Theatre | dpr,/fr/event/33rd-annual-dc-senior-games-closing-ceremony-howard-theatre,4
34th Annual Black History Invitational Swim Meet and Aquatic Center Closures | dpr,/release/34th-annual-black-history-invitational-swim-meet-and-aquatic-center-closures,5
35th Annual DC Senior Games Opens to Largest Registration | dpr,/release/35th-annual-dc-senior-games-opens-largest-registration,1
3rd Annual Community Basketball Showcase - Fort Davis Community Center | dpr,/event/3rd-annual-community-basketball-showcase-fort-davis-community-center,2
4.14.16 - Agency Budget Oversight Hearings on Fiscal Year 2017 - Director Keith Anderson | dpr,/fr/release/41416-agency-budget-oversight-hearings-fiscal-year-2017-director-keith-anderson,5
4.14.16 - Agency Budget Oversight Hearings on Fiscal Year 2017 - Director Keith Anderson | dpr,/release/41416-agency-budget-oversight-hearings-fiscal-year-2017-director-keith-anderson,3
4.26.17 - Agency Budget Oversight Hearing on Fiscal Year 2018 - Director Keith Anderson | dpr,/ko/release/42617-agency-budget-oversight-hearing-fiscal-year-2018-director-keith-anderson,1
4.26.17 - Agency Budget Oversight Hearing on Fiscal Year 2018 - Director Keith Anderson | dpr,/release/42617-agency-budget-oversight-hearing-fiscal-year-2018-director-keith-anderson,4
4th Annual Mother's Day Mommie & Me Brunch - Bald Eagle Recreation Center | dpr,/event/4th-annual-mothers-day-mommie-me-brunch-bald-eagle-recreation-center,2
4th Annual Pink Madness Breast Cancer Basketball Tournament - Bald Eagle Recreation Center | dpr,/event/4th-annual-pink-madness-breast-cancer-basketball-tournament-bald-eagle-recreation-center,1
4th of July at DPR | dpr,/page/4th-july-dpr,2
5th Annual Blacks in Wax to Premiere at The Kennedy Center | dpr,/release/5th-annual-blacks-wax-premiere-kennedy-center,4
