# ----------------------------------------
# Pages and screens: Page path and screen class
# Account: dc.gov
# Property: dcgov GA4
# ----------------------------------------
# 
# Hostname exactly matches otr.cfo.dc.gov
# Start date: 20250916
# End date: 20251216
Page title and screen class,Page path and screen class,Views,Active users,Views per active user,Average engagement time per active user,Event count,Key events,Total revenue
How to Search the OCFO's Online Real Property Sales Database | otr,/node/388832,2220,1963,1.130922058074376,10.25522159959246,6185,0,0
Real Property Tax Forms | otr,/page/real-property-tax-forms,2206,1548,1.425064599483204,40.65891472868217,6654,0,0
MyTax.DC.gov | otr,/page/mytaxdcgov,2037,1504,1.3543882978723405,72.94481382978724,6803,0,0
New Business Registration | otr,/page/new-business-registration/,1930,1180,1.6355932203389831,42.55084745762712,6441,0,0
Real Property Taxpayers | otr,/service/real-property-taxpayers,1917,1324,1.4478851963746224,36.3904833836858,4316,0,0
Corporate Business Franchise Tax Forms | otr,/page/corporate-business-franchise-tax-forms,1826,1308,1.3960244648318043,33.66360856269113,5820,0,0
Tax Forms and Publications | otr,/page/tax-forms-and-publications,1786,1150,1.5530434782608695,33.568695652173915,5253,0,0
"DC Estate, Inheritance and Fiduciary Tax Information | otr",/page/dc-estate-inheritance-and-fiduciary-tax-information,1705,1245,1.3694779116465863,44.80642570281125,6032,0,0
Vacant Real Property | otr,/page/vacant-real-property-0,1645,1319,1.2471569370735405,15.4275966641395,5228,0,0
OTR Customer Service Center | otr,/service/customer-service-center,1576,1166,1.3516295025728988,50.52229845626072,5259,0,0
Individual Income Tax Filing | otr,/book/individual-income-tax-faqs/individual-income-tax-filing,1553,1239,1.2534301856335754,38.36481033091203,5394,0,0
FP-31 (Fill-in) | otr,/publication/fp-31-fill,1507,1058,1.4243856332703213,16.659735349716446,5271,0,0
Real Property Assessment Process | otr,/page/real-property-assessment-process-0,1486,1141,1.3023663453111305,25.18843120070114,4212,0,0
Assessments & Appeals | otr,/page/assessments-appeals,1468,1165,1.2600858369098713,12.691845493562232,4222,0,0
"Real Property and Bid Tax Payments, and Electronic Bill Notification | otr",/node/409092,1437,1202,1.1955074875207987,26.73044925124792,4234,0,0
General Recording Requirements & Fees | otr,/service/general-recording-requirements-fees,1433,974,1.4712525667351128,57.889117043121146,4387,0,0
District of Columbia Tax Filing Season Starts Today | otr,/release/district-columbia-tax-filing-season-starts-today,1341,1184,1.1326013513513513,19.989864864864863,3384,0,0
Unincorporated Business Franchise Tax Forms | otr,/page/unincorporated-business-franchise-tax-forms,1310,859,1.5250291036088475,44.474970896391156,4032,0,0
Underpayment of Estimated Tax Interest | otr,/page/underpayment-estimated-tax-interest,1304,1003,1.300099700897308,56.9222333000997,4416,0,0
2024 D-40 Booklet | otr,/node/1758471,1296,1020,1.2705882352941176,6.870588235294117,3601,0,0
OTR Tax Notices and Guidance | otr,/node/400702,1274,1024,1.244140625,21.115234375,4219,0,0
Other Business Tax Types | otr,/page/other-business-tax-types,1267,956,1.3253138075313808,20.18305439330544,3810,0,0
Sports Facilities Fee | otr,/page/sports-facilities-fee,1252,750,1.6693333333333333,47.79333333333334,4510,0,0
2024 D-40 | otr,/node/1758386,1242,952,1.3046218487394958,8.785714285714286,3534,0,0
Exemptions - Audit Division | otr,/page/exemptions-audit-division,1236,870,1.4206896551724137,66.87011494252873,4248,0,0
Business Tax Forms and Publications for 2024 Tax Filing Season (Tax Year 2023) | otr,/page/business-tax-forms-and-publications-2024-tax-filing-season-tax-year-2023,1213,867,1.3990772779700116,18.220299884659745,4276,0,0
Individual Income Tax Online Filing | otr,/page/individual-income-tax-online-filing,1192,862,1.382830626450116,19.900232018561486,3912,0,0
2024 D-20 | otr,/node/1758896,1156,875,1.3211428571428572,4.912,3156,0,0
Real Property Tax Service Center | otr,/service/real-property-tax-service-center,1143,820,1.3939024390243901,27.202439024390245,2702,0,0
2024 D-30 | otr,/publication/2024-d-30,1137,858,1.3251748251748252,13.508158508158509,4001,0,0
Tax Law and Guidance | otr,/page/tax-law-and-guidance,1110,649,1.7103235747303545,29.35593220338983,3514,0,0
Recorder of Deeds - Document Images | otr,/node/381242,1102,664,1.6596385542168675,13.254518072289157,3235,0,0
Power of Attorney | otr,/page/power-attorney,1094,775,1.4116129032258065,33.012903225806454,3629,0,0
Forms & Resources | otr,/page/forms-resources,1023,776,1.318298969072165,16.78221649484536,3044,0,0
Online Services | otr,/online-services,999,680,1.4691176470588236,32.98529411764706,3578,0,0
